Gaming,Last,Overall,Attendance,Preparation
More than 3 Hours,3.81,3.81,80%-100%,More than 3 Hours
More than 3 Hours,3.81,3.81,80%-100%,More than 3 Hours
More than 3 Hours,3.81,3.81,80%-100%,More than 3 Hours
0-1 Hour,3.84,3.84,80%-100%,0-1 Hour
0-1 Hour,3.67,3.87,80%-100%,2-3 Hours
0-1 Hour,3.88,3.88,80%-100%,2-3 Hours
0-1 Hour,3.88,3.88,80%-100%,2-3 Hours
0-1 Hour,3.88,3.88,80%-100%,2-3 Hours
0-1 Hour,3.88,3.88,80%-100%,2-3 Hours
2-3 Hours,3.89,3.89,80%-100%,2-3 Hours
0-1 Hour,3.94,3.94,80%-100%,2-3 Hours
0-1 Hour,3.98,3.94,80%-100%,2-3 Hours
0-1 Hour,3.94,3.94,80%-100%,2-3 Hours
0-1 Hour,3.94,3.94,80%-100%,2-3 Hours
0-1 Hour,3.94,3.94,80%-100%,2-3 Hours
0-1 Hour,3.94,3.94,80%-100%,2-3 Hours
0-1 Hour,3.94,3.94,80%-100%,2-3 Hours
0-1 Hour,4.0,3.95,80%-100%,More than 3 Hours
2-3 Hours,4.0,3.96,80%-100%,2-3 Hours
More than 3 Hours,4.0,3.98,80%-100%,0-1 Hour
More than 3 Hours,4.0,4.0,60%-79%,0-1 Hour
More than 3 Hours,4.0,4.0,80%-100%,0-1 Hour
More than 3 Hours,4.0,4.0,80%-100%,0-1 Hour
2-3 Hours,4.0,4.0,80%-100%,2-3 Hours
More than 3 Hours,4.0,4.0,80%-100%,0-1 Hour
More than 3 Hours,4.0,4.0,80%-100%,0-1 Hour
More than 3 Hours,4.0,4.0,80%-100%,0-1 Hour
2-3 Hours,3.83,2.97,80%-100%,2-3 Hours
